Time,Open,High,Low,Close,Volume
1633046400000,0.95350000,0.95390000,0.95300000,0.95370000,65266.00000000
1633046460000,0.95370000,0.95450000,0.95330000,0.95430000,173239.00000000
1633046520000,0.95420000,0.95510000,0.95280000,0.95510000,428309.00000000
1633046580000,0.95510000,0.95680000,0.95390000,0.95670000,427315.00000000
1633046640000,0.95680000,0.95690000,0.95580000,0.95640000,231526.00000000
1633046700000,0.95660000,0.95880000,0.95640000,0.95740000,504981.00000000
1633046760000,0.95740000,0.95770000,0.95630000,0.95670000,397138.00000000
1633046820000,0.95680000,0.95690000,0.95400000,0.95410000,145867.00000000
1633046880000,0.95400000,0.95400000,0.95050000,0.95130000,314357.00000000
1633046940000,0.95120000,0.95300000,0.95100000,0.95150000,271660.00000000
1633047000000,0.95170000,0.95170000,0.95000000,0.95000000,464915.00000000
1633047060000,0.95010000,0.95030000,0.95000000,0.95030000,89466.00000000
1633047120000,0.95030000,0.95250000,0.95030000,0.95250000,220692.00000000
1633047180000,0.95270000,0.95490000,0.95260000,0.95370000,254931.00000000
1633047240000,0.95360000,0.95370000,0.95200000,0.95260000,176790.00000000
1633047300000,0.95260000,0.95280000,0.95080000,0.95150000,190922.00000000
1633047360000,0.95150000,0.95220000,0.95120000,0.95160000,86244.00000000
1633047420000,0.95170000,0.95320000,0.95140000,0.95320000,159797.00000000
1633047480000,0.95320000,0.95340000,0.95240000,0.95260000,56681.00000000
1633047540000,0.95260000,0.95330000,0.95260000,0.95300000,96589.00000000
1633047600000,0.95300000,0.95460000,0.95300000,0.95400000,124511.00000000
1633047660000,0.95390000,0.95400000,0.95330000,0.95340000,78606.00000000
1633047720000,0.95340000,0.95370000,0.95250000,0.95270000,143513.00000000
1633047780000,0.95260000,0.95430000,0.95260000,0.95430000,120696.00000000
1633047840000,0.95410000,0.95490000,0.95380000,0.95490000,28895.00000000
1633047900000,0.95470000,0.95620000,0.95470000,0.95600000,68434.00000000
1633047960000,0.95600000,0.95660000,0.95550000,0.95550000,178299.00000000
1633048020000,0.95550000,0.95610000,0.95480000,0.95520000,81973.00000000
1633048080000,0.95510000,0.95620000,0.95460000,0.95620000,89185.00000000
1633048140000,0.95620000,0.95680000,0.95600000,0.95670000,104130.00000000
1633048200000,0.95680000,0.96000000,0.95670000,0.95920000,411190.00000000
1633048260000,0.95930000,0.95950000,0.95840000,0.95940000,155546.00000000
1633048320000,0.95940000,0.95950000,0.95860000,0.95860000,73916.00000000
1633048380000,0.95860000,0.96000000,0.95810000,0.95940000,337925.00000000
1633048440000,0.95960000,0.95980000,0.95870000,0.95910000,150564.00000000
1633048500000,0.95920000,0.95940000,0.95800000,0.95880000,240756.00000000
1633048560000,0.95880000,0.96000000,0.95880000,0.95900000,511210.00000000
1633048620000,0.95900000,0.95970000,0.95750000,0.95790000,285558.00000000
1633048680000,0.95770000,0.95780000,0.95640000,0.95730000,273421.00000000
1633048740000,0.95740000,0.95790000,0.95700000,0.95700000,138096.00000000
1633048800000,0.95710000,0.95790000,0.95710000,0.95740000,107659.00000000
1633048860000,0.95740000,0.95760000,0.95720000,0.95730000,67511.00000000
1633048920000,0.95730000,0.95730000,0.95580000,0.95600000,202142.00000000
1633048980000,0.95590000,0.95630000,0.95520000,0.95550000,256859.00000000
1633049040000,0.95570000,0.95760000,0.95570000,0.95690000,99454.00000000
1633049100000,0.95690000,0.95690000,0.95560000,0.95590000,114604.00000000
1633049160000,0.95590000,0.95600000,0.95520000,0.95540000,251771.00000000
1633049220000,0.95550000,0.95600000,0.95400000,0.95460000,248941.00000000
1633049280000,0.95450000,0.95500000,0.95360000,0.95370000,168952.00000000
1633049340000,0.95370000,0.95490000,0.95360000,0.95460000,264490.00000000
1633049400000,0.95480000,0.95480000,0.95370000,0.95390000,68048.00000000
1633049460000,0.95390000,0.95430000,0.95380000,0.95430000,27526.00000000
1633049520000,0.95440000,0.95460000,0.95270000,0.95310000,172987.00000000
1633049580000,0.95300000,0.95310000,0.95230000,0.95240000,109272.00000000
1633049640000,0.95240000,0.95240000,0.95150000,0.95150000,103868.00000000
1633049700000,0.95150000,0.95220000,0.95130000,0.95210000,107934.00000000
1633049760000,0.95220000,0.95280000,0.95190000,0.95260000,38384.00000000
1633049820000,0.95270000,0.95300000,0.95230000,0.95260000,113303.00000000
1633049880000,0.95250000,0.95260000,0.95210000,0.95250000,38013.00000000
1633049940000,0.95250000,0.95320000,0.95180000,0.95190000,128984.00000000
1633050000000,0.95190000,0.95210000,0.95050000,0.95160000,174461.00000000
1633050060000,0.95160000,0.95220000,0.95000000,0.95030000,320931.00000000
1633050120000,0.95020000,0.95020000,0.94800000,0.94990000,418180.00000000
1633050180000,0.94990000,0.95010000,0.94810000,0.94870000,88628.00000000
1633050240000,0.94860000,0.94950000,0.94830000,0.94830000,136481.00000000
1633050300000,0.94830000,0.94940000,0.94780000,0.94890000,215253.00000000
1633050360000,0.94890000,0.94970000,0.94880000,0.94940000,69270.00000000
